SAMPLE,SITE,SUBSITE,DATE,SEASON,GPS,PLAYBACK,START TIME,SPECIES,GROUP SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER ALARM,ALARMS/GS,MOBS,CALLS/GS,TOTAL VOCALIZATIONS,TOTAL/GS,DISTANCE (m),HEIGHT (m),HYPOTENUSE,LATENCY ALARM (s),NOTES
86,ISLAND,RIDGE,07/27/2025,SUMMER,"34°0'36""N, 119°47'16""W",--,1102,ISSJ,7,CONTROL,YES,YES,NO,YES,4,0.571,0,0.000,4,0.571,16.8,2,16.92,0.85,
155,ISLAND,RIDGE,3/7/2026,WINTER,"34°0'19""N,119°44'59""W",YES,838,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,11.7,8,14.17,NA,
156,ISLAND,RIDGE,3/7/2026,WINTER,"34°0'19""N,119°45'12""W",YES,903,ISSJ,1,HAWK,YES,YES,NO,YES,5,5.000,0,0.000,5,5.000,13.1,5,14.02,0.543,
8,MAINLAND,SVR,07/03/2025,SUMMER,"37°06'60""N 122°09'26""W",--,715,CASJ,5,HAWK,YES,YES,YES,NO,12,2.400,179,35.800,191,38.200,11.2,6,12.71,0.694,"At least two fledglings present, but not the individual we shot the hawk at. Also likely an underestimate of group size, maybe closer to 7-8 individuals"
9,MAINLAND,SVR,07/03/2025,SUMMER,"37°6'59""N, 122°9'25""W",--,727,CASJ,2,HAWK,YES,YES,YES,YES,5,2.500,8,4.000,13,6.500,,,,,
10,MAINLAND,SVR,07/03/2025,SUMMER,"37°7'14""N, 122°9'36""W",--,758,CASJ,2,CONTROL,YES,YES,YES,NO,0,0.000,2,1.000,2,1.000,11.8,4,12.46,-,no alarm vocalizations
11,MAINLAND,SVR,07/06/2025,SUMMER,"37°6'30""N, 122°9'12""W",--,807,CASJ,2,HAWK,YES,YES,YES,NO,4,2.000,4,2.000,8,4.000,,,,,
12,MAINLAND,SVR,07/06/2025,SUMMER,--,--,823,CASJ,1,CONTROL,YES,YES,NO,NO,2,2.000,0,0.000,2,2.000,15.1,10,18.11,1.517,
129,MAINLAND,UPPER,02/10/2026,WINTER,"37°1'2""N,122°4'44""W",YES,736,CASJ,1,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,7.2,5,8.77,NA,
130,MAINLAND,UPPER,02/10/2026,WINTER,"37°0'59""N,122°4'55""W",YES,756,CASJ,2,HAWK,YES,YES,YES,NO,13,6.500,1,0.500,14,7.000,17.3,1,17.33,1.056,
131,MAINLAND,UPPER,02/10/2026,WINTER,"36°59'27""N,122°3'24""W",YES,833,CASJ,2,CONTROL,YES,YES,NO,NO,4,2.000,0,0.000,4,2.000,6.5,3,7.16,0.763,
32,ISLAND,WASH,07/25/2025,SUMMER,"34°0'0""N, 199°43'60""W",--,758,ISSJ,2,HAWK,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,6.7,2,6.99,-,"no actual calls, but pree has good digiridoo + male call thing"
33,ISLAND,WASH,07/25/2025,SUMMER,"33°59'58""N, 119°44'4""W",--,815,ISSJ,1,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,10.8,6,12.35,-,calls in recording are from non-target bird
34,ISLAND,WASH,07/25/2025,SUMMER,"33°59'58""N, 119'44'11""W",--,836,ISSJ,2,HAWK,YES,YES,YES,YES,4,2.000,3,1.500,7,3.500,13.6,5,14.49,1.03,
35,ISLAND,WASH,07/25/2025,SUMMER,--,--,858,ISSJ,2,CONTROL,YES,YES,NO,NO,7,3.500,0,0.000,7,3.500,7.6,3,8.17,2.64,
36,ISLAND,WASH,07/25/2025,SUMMER,"34°0'1""N, 119°44'22""W",--,907,ISSJ,1,HAWK,YES,YES,NO,YES,2,2.000,0,0.000,2,2.000,14,5,14.87,1.382,
37,ISLAND,WASH,07/25/2025,SUMMER,"34°0'5""N, 119°44'34""W",--,929,ISSJ,1,CONTROL,YES,NO,NO,YES,0,0.000,0,0.000,0,0.000,11.1,2,11.28,-,no alarm vocalizations
38,ISLAND,WASH,07/25/2025,SUMMER,"34°0'8""N, 119°44'39""W",--,943,ISSJ,2,HAWK,YES,YES,YES,YES,8,4.000,11,5.500,19,9.500,9,7,11.40,0.857,
42,ISLAND,WASH,07/25/2025,SUMMER,"34°0'12""N, 119°44'43""W",--,1119,ISSJ,3,HAWK,YES,YES,NO,YES,13,4.333,0,0.000,13,4.333,9.2,7,11.56,0.714,
148,ISLAND,WASH,3/7/2026,WINTER,"33°59'59""N,119°44'5""W",NO,657,ISSJ,2,HAWK,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,18.5,0,18.50,NA,
149,ISLAND,WASH,3/7/2026,WINTER,"33°59'58""N,119°44'18""W",YES,712,ISSJ,3,CONTROL,YES,NO,NO,NO,0,0.000,0,0.000,0,0.000,21.2,5,21.78,NA,
150,ISLAND,WASH,3/7/2026,WINTER,"34°0'2""N,119°44'22""W",NO,723,ISSJ,2,HAWK,YES,YES,NO,NO,3,1.500,0,0.000,3,1.500,18,1.5,18.06,1.447,"FOUR BACKGROUND ALARMS, IGNORE"
151,ISLAND,WASH,3/7/2026,WINTER,"34°0'4""N,119°44'24""W",NO,727,ISSJ,1,HAWK,YES,YES,NO,NO,9,9.000,0,0.000,9,9.000,13.5,3,13.83,NA,NO RECORDING:(
152,ISLAND,WASH,3/7/2026,WINTER,"34°0'5""N,119°44'26""W",NO,731,ISSJ,1,CONTROL,YES,YES,NO,NO,8,8.000,0,0.000,8,8.000,24.3,2,24.38,1.188,
153,ISLAND,WASH,3/7/2026,WINTER,"34°0'6""N,119°44'28""W",YES,738,ISSJ,2,HAWK,YES,YES,NO,YES,13,6.500,0,0.000,13,6.500,9.9,3.5,10.50,1.442,
154,ISLAND,WASH,3/7/2026,WINTER,"34°0'8""N,119°44'38""W",YES,750,ISSJ,2,CONTROL,YES,YES,NO,YES,4,2.000,0,0.000,4,2.000,16.5,4,16.98,1.407,
157,ISLAND,WASH,3/7/2026,WINTER,"34°0'8""N,119°44'36""W",NO,927,ISSJ,2,CONTROL,YES,YES,NO,YES,2,1.000,0,0.000,2,1.000,21.5,3,21.71,1.721,
