SAMPLE,SITE,SUBSITE,DATE,SEASON,PLAYBACK,START.TIME,SPECIES,GROUP.SIZE,TREATMENT,FLEE,ALARM,MOB,INTEREST,NUMBER.ALARM,NUMBER.MOB,HYPOTENUSE,LATENCY.ALARM
117,MAINLAND,CAMPUS,01/17/2026,WINTER,NO,854,CASJ,1,HAWK,1,0,0,0,0,0,8.83,NA
118,MAINLAND,CAMPUS,01/17/2026,WINTER,NO,938,CASJ,1,CONTROL,1,1,1,0,11,7,16.52,1.886
119,MAINLAND,CAMPUS,01/17/2026,WINTER,NO,957,CASJ,1,HAWK,1,1,1,0,7,6,28.48,NA
120,MAINLAND,CAMPUS,01/17/2026,WINTER,NO,1004,CASJ,1,CONTROL,1,0,1,0,0,1,28.4,NA
123,MAINLAND,CAMPUS,02/03/2026,WINTER,YES,713,CASJ,2,CONTROL,1,1,1,0,5,11,19.64,1.037
124,MAINLAND,CAMPUS,02/03/2026,WINTER,YES,730,CASJ,2,CONTROL,1,1,0,0,6,0,20.12,1.1
125,MAINLAND,CAMPUS,02/03/2026,WINTER,NO,805,CASJ,1,HAWK,1,0,0,0,0,0,23.5,NA
126,MAINLAND,CAMPUS,02/03/2026,WINTER,NO,815,CASJ,2,HAWK,1,1,1,0,17,10,21.09,0.919
127,MAINLAND,CAMPUS,02/03/2026,WINTER,NO,825,CASJ,1,HAWK,1,1,1,0,13,1,23.72,0.718
128,MAINLAND,CAMPUS,02/03/2026,WINTER,NO,843,CASJ,2,HAWK,1,1,0,0,6,0,NA,1.559
44,ISLAND,FIELD,07/25/2025,SUMMER,NA,1208,ISSJ,2,CONTROL,0,0,0,1,0,0,9.77,NA
45,ISLAND,FIELD,07/26/2025,SUMMER,NA,1824,ISSJ,3,HAWK,1,1,0,1,15,0,15.9,1.051
70,ISLAND,FIELD,07/26/2025,SUMMER,NA,1407,ISSJ,1,CONTROL,0,0,0,1,0,0,15.83,NA
87,ISLAND,FIELD,07/28/2025,SUMMER,NA,639,ISSJ,2,HAWK,1,1,0,1,3,0,18.11,1.081
19,MAINLAND,FOER,07/08/2025,SUMMER,NA,1349,CASJ,2,HAWK,1,1,1,1,7,18,10.68,0.766
20,MAINLAND,FOER,07/09/2025,SUMMER,NA,703,CASJ,1,CONTROL,1,1,1,0,0,1,5.76,NA
