term,estimate,Est.Error,lower,upper,model
SPECIESISSJ,-2.9131592577789167,0.6952567355272781,-4.2686691900918525,-1.5698903657057102,mob_prob
TREATMENTHAWK,0.989765280208686,0.5650979983967249,-0.11128394995651592,2.1070727998881087,mob_prob
GROUP.SIZE,0.5501273749852765,0.22498233956367003,0.11762493099198867,1.007464303226707,mob_prob
SEASONWINTER,-1.0575726484732313,0.5145274695478663,-2.0934412979041612,-0.0749279464195443,mob_prob
SPECIESISSJ:TREATMENTHAWK,0.37097044192978934,0.7469048578760565,-1.0724341370444972,1.8606435703423132,mob_prob
HYPOTENUSE,0.49359901678930596,0.25247620077637667,-0.001927363905392157,0.9925595398412529,mob_prob
PLAYBACKYES,0.6462061400139961,0.8990582827348086,-1.090330899013241,2.4093336741931606,mob_prob
