effect,group,term,estimate,std.error,statistic,p.value,model
fixed,NA,SPECIESISSJ,-2.0377337317599844,0.6778363917681195,-3.006232413170686,0.002645067429930734,ALARM
fixed,NA,TREATMENTHAWK,1.4019251771910375,0.9274534836721865,1.5115854346033764,0.13063935935777096,ALARM
fixed,NA,GROUP.SIZE,0.6868285778781544,0.29084750889165134,2.361473132417362,0.018202490847251288,ALARM
fixed,NA,SEASONWINTER,0.14362918756878687,0.5195247941639586,0.27646262350177353,0.7821927634548717,ALARM
fixed,NA,SPECIESISSJ:TREATMENTHAWK,1.1329850027057726,1.1014266304127611,1.0286522691767357,0.30364310665559363,ALARM
fixed,NA,HYPOTENUSE,0.09097957409833517,0.24965880226040585,0.36441564757424094,0.715547652552222,ALARM
fixed,NA,PLAYBACKYES,1.188515869716382,1.0002959936799953,1.1881641806281193,0.23476873265266854,ALARM
fixed,NA,SPECIESISSJ,-3.7355547382032053,0.8670155366444581,-4.308521105239508,1.6434979577369024e-5,MOB
fixed,NA,TREATMENTHAWK,0.7398793828099842,0.6538228298184486,1.1316205997509012,0.25779397575759155,MOB
fixed,NA,GROUP.SIZE,0.5806287526016426,0.22934068397406893,2.5317302736713434,0.011350126337314288,MOB
fixed,NA,SEASONWINTER,-1.207824213891055,0.550918782070007,-2.192381623572189,0.028351962402082306,MOB
fixed,NA,SPECIESISSJ:TREATMENTHAWK,1.0829931119931222,0.9814689315730601,1.103441053663658,0.269835676713105,MOB
fixed,NA,HYPOTENUSE,0.5368092616199449,0.2580001514783164,2.080654831185481,0.03746551123376246,MOB
fixed,NA,PLAYBACKYES,0.9289349008133903,1.3677484334034273,0.6791708753793865,0.49702959881968345,MOB
fixed,NA,SPECIESISSJ,2.793386694094314,0.5959505766588931,4.687279119276996,2.7686125400808123e-6,INTEREST
fixed,NA,TREATMENTHAWK,0.19303497866272604,0.4495324482103898,0.42941278083752915,0.6676228542922358,INTEREST
fixed,NA,GROUP.SIZE,0.39361280254402325,0.24040730672731714,1.6372747064234616,0.10157308345735673,INTEREST
fixed,NA,SEASONWINTER,-1.6781413280825928,0.5417026835772221,-3.0979010792427917,0.0019489647166850946,INTEREST
fixed,NA,HYPOTENUSE,-0.2672843195462289,0.25077055401722276,-1.0658520917406913,0.2864905086469733,INTEREST
fixed,NA,PLAYBACKYES,-0.8703938732221019,1.5888923099300347,-0.5477991603222178,0.583829815226014,INTEREST
fixed,NA,SPECIESISSJ,-18.55787185270142,6362.201184210675,-0.002916894847455818,0.997672657936008,FLEE
fixed,NA,TREATMENTHAWK,19.66508683036353,9687.104453902524,0.002030027334168086,0.9983802736445446,FLEE
fixed,NA,GROUP.SIZE,2.7153135951957257,1.7763371104448797,1.528602639234217,0.1263629813533857,FLEE
fixed,NA,SEASONWINTER,-0.2399769867925569,1.4596271786018897,-0.16440978238184076,0.8694085631359298,FLEE
fixed,NA,HYPOTENUSE,-0.819032238531231,0.635417383474511,-1.288967314763565,0.1974094499224599,FLEE
fixed,NA,PLAYBACKYES,-42.75890060008457,25509139.57877251,-1.6762188496418943e-6,0.9999986625708593,FLEE
