effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,SPECIESISSJ,-0.23905804964337588,0.17455934796212424,-1.3694944008111585,0.1708447838460386,ALARM.CALL
fixed,cond,NA,TREATMENTCONTROL,-0.720926456900876,0.2946875752726113,-2.446409409130864,0.014428705238346594,ALARM.CALL
fixed,cond,NA,GROUP.SIZE,0.4162475426970492,0.07364406973768337,5.652152904907387,1.5845053797547325e-8,ALARM.CALL
fixed,cond,NA,SEASONWINTER,0.38635988682721134,0.18460906640659472,2.0928543453888,0.036362158785941484,ALARM.CALL
fixed,cond,NA,SPECIESISSJ:TREATMENTCONTROL,0.053510766111003374,0.34374729871079734,0.15566890652433385,0.8762940073329337,ALARM.CALL
fixed,cond,NA,HYPOTENUSE,-0.014439779670824326,0.086803123010459185,-0.16635092344643443,0.8678807931572864,NA
fixed,cond,NA,PLAYBACKYES,0.08372297279560453,0.4425851300149083,0.1891680653454949,0.8499610959116821,NA
fixed,cond,NA,SPECIESISSJ,-2.26279023053913,0.4316901320762422,-5.241700151115549,1.5910376862295978e-7,MOB.CALL
fixed,cond,NA,TREATMENTCONTROL,-1.0212062868143852,0.5376656209616073,-1.899333427694284,0.057520650412029604,MOB.CALL
fixed,cond,NA,GROUP.SIZE,0.3289265498275175,0.18752337961826035,1.7540562168680531,0.07942087488288808,MOB.CALL
fixed,cond,NA,SEASONWINTER,-0.9521103487353378,0.44949492993033424,-2.118178171404297,0.034159981129087885,MOB.CALL
fixed,cond,NA,SPECIESISSJ:TREATMENTCONTROL,-1.377853171731889,0.8227639721134741,-1.6746639600571354,0.09400018236890763,MOB.CALL
fixed,cond,NA,HYPOTENUSE,0.07723047169347184,0.26601500784501236,0.2903237389465952,0.7715685795040288,NA
fixed,cond,NA,PLAYBACKYES,-0.041779201611629596,0.9061843407096735,-0.0461045283335071,0.963226936760153,NA
