term,estimate,Est.Error,lower,upper,model
SPECIESISSJ,-3.012969673037362,0.6324778337740214,-4.242772637350261,-1.7581736589646084,number_mob
TREATMENTHAWK,1.348135003818156,0.5051488865611646,0.3626913185716172,2.3572289595840354,number_mob
GROUP.SIZE,0.4887983098725429,0.19149000563291393,0.13152093518672842,0.8737869484160272,number_mob
SEASONWINTER,-0.8452603153903345,0.4700285958132041,-1.7665407720050628,0.07968269347804813,number_mob
SPECIESISSJ:TREATMENTHAWK,0.6034672968999948,0.6764906997472663,-0.6855642437832571,1.9473130630659568,number_mob
HYPOTENUSE,-0.05228469299895046,0.27217926446464374,-0.5760228906553154,0.491405351706844,number_mob
PLAYBACKYES,0.4610679310623471,0.7871413755848187,-1.0526316345993316,1.9990850545013026,number_mob
